ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
TOOLTIP_RESIST_EARTH	Rezistenta pamant +%d%%	SA
TOOLTIP_RESIST_ELEC	Rezistenta la fulger %d%%	SA
TOOLTIP_RESIST_FIRE	Rezistenta la foc %d%%	SA
TOOLTIP_RESIST_ICE	Rezistenta gheata +%d%%	SA
TOOLTIP_RESIST_MAGIC	Rezistenta la magie %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Ramas: %d
TOOLTIP_SEALED	Personalizat
TOOLTIP_SELLPRICE	Pret: %s
TOOLTIP_SHAMAN	Șaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Competenta	SNA
TOOLTIP_SKILLBOOK_NAME	Cartea competentei
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteza de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Aparare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reinnoieste PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteza de miscare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Șansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistenta la paguba corporala:
TOOLTIP_SKILL_COOL_TIME	Re-incarcare: 
TOOLTIP_SKILL_DAMAGE_BONUS	Paguba competentei %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Rezistenta la paguba competentei %d%%	SA
TOOLTIP_SKILL_DURATION	Durata: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Banderola uitarii
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Maestru)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Gol
TOOLTIP_SOCKET_REFINABLE_ITEM	[Obiect cu suport]
TOOLTIP_SP_REGEN	Regenerare PM +%d%%	SA
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_DARK	Intuneric
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_EARTH	Pamant
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_ELECT	Fulger
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_FIRE	Foc
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_ICE	Gheata
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_WIND	Vant
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_BLUE	Albastru
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_GREEN	Verde
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_RED	Rosu
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_YELLOW	Galben
TOOLTIP_STR	Putere +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Timp de incarcare %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Timp de incarcare %d%%	SA
TOOLTIP_UNIQUE	Unic
TOOLTIP_WARRIOR	Razboinic
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Bratara
TRACK_BOSS_COOLDOWN_FIELD	Harta: %s
TRACK_BOSS_INFORMATION	World Boss
TRACK_BOSS_INFORMATION_NOTICE	Notificare World Boss
TRACK_BOSS_LEVEL_FIELD	Nivel recomandat: %d - %d
TRACK_BOSS_PARTY_FIELD	Timp asteptare: %s
TRACK_BOSS_READY	[WorldBoss] %s este disponibil!
TRACK_DUNGEON_COOLDOWN_FIELD	Timp asteptare: %s
TRACK_DUNGEON_INFORMATION	Temnite
TRACK_DUNGEON_INFORMATION_NOTICE	Notificare Temnite
TRACK_DUNGEON_KEY	Cheie
TRACK_DUNGEON_LEVEL_FIELD	Nivel: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Grupa: %s
TRACK_DUNGEON_PARTY_NEED	Da
TRACK_DUNGEON_PARTY_NOT_NEED	Nu
TRACK_DUNGEON_READY	[Temnita] %s este disponibil!
TRACK_STATUS_ALIVE	In viata    CH%d
TRACK_STATUS_AVAILABLE	Disponibil
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_FIELD_GO_BACK	Mergi inapoi - 
TRACK_WB_1	General Wu
TRACK_WB_2	General You
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dune Guardian
TRACK_WINDOW_TITLE	Informatii Temnite si World Boss
UI_ACCEPT	Accepta
UI_CANCEL	Anuleaza
UI_CLOSE	Inchide
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_SLARGE	Tahoma:13
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_XLARGE	Tahoma:20
UI_DEF_FONT_XXLARGE	Tahoma:34
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Refuza
UI_ITEM	Obiect
UI_LEFT_TIME	Timp ramas: %d sec.
UI_NEXT	Continua
UI_NEXTPAGE	Urmatorul
UI_NOCONTENTS	Niciun continut
UI_NONAME	Niciun nume
UI_OK	OK
UI_POS_UNKNOWN	Locatie necunoscuta
UI_PREVPAGE	Inapoi
UI_UNKNOWN	Necunoscut
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload-ul terbuie pornit inca odata
USE_ITEM_FAILURE_PRIVATE_SHOP	Nu poti folosi obiectul daca ai deschis un magazin.
WIKI_CATEGORY_BOSSES	Șefi
WIKI_CATEGORY_CHESTS	Cufere
WIKI_CATEGORY_COMPANION	Companioni
WIKI_CATEGORY_COSTUMES	Costume
WIKI_CATEGORY_EQUIPEMENT	Echipament
WIKI_CATEGORY_GUIDES	Informatii
WIKI_CATEGORY_METINSTONES	Pietre Metin
WIKI_CATEGORY_MONSTERS	Monstri
WIKI_CATEGORY_SYSTEMS	Sisteme
WIKI_CHESTINFO_CONTENTOF	Continut %s
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_ITEMINFO_OPTAINEDFROM	Disponibil la
WIKI_MONSTERINFO_DEFENSE	Aparare:
WIKI_MONSTERINFO_DROPLISTOF	Informatii drop pentru %s
WIKI_MONSTERINFO_DMG_HP	Atac minim: %d | Atac maxim: %d | Max. HP: %d
WIKI_MONSTERINFO_GOLD_EXP	Yang minim: %d | Yang maxim: %d | Experienta: %d
WIKI_MONSTERINFO_LEVEL	Nivel: %d
WIKI_MONSTERINFO_NO_RACE	Nu
WIKI_MONSTERINFO_RACE_ANIMAL	Animale
WIKI_MONSTERINFO_RACE_UNDEAD	Vampiri
WIKI_MONSTERINFO_RACE_DEVIL	Diavol
WIKI_MONSTERINFO_RACE_HUMAN	Semi-om
WIKI_MONSTERINFO_RACE_ORC	Orci
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_ELEC	Fulger
WIKI_MONSTERINFO_RACE_FIRE	Foc
WIKI_MONSTERINFO_RACE_ICE	Gheata
WIKI_MONSTERINFO_RACE_WIND	Vant
WIKI_MONSTERINFO_RACE_EARTH	Pamant
WIKI_MONSTERINFO_RACE_DARK	Intuneric
WIKI_MONSTERINFO_RACE_METIN	Pietra metin
WIKI_MONSTERINFO_RESIST_BELL	Aparare clopot %d
WIKI_MONSTERINFO_RESIST_BOW	Rezistenta la sageti %d
WIKI_MONSTERINFO_RESIST_DAGGER	Aparare pumnal %d
WIKI_MONSTERINFO_RESIST_FAN	Aparare evantai %d
WIKI_MONSTERINFO_RESIST_MAGIC	Rezistenta la magie %d
WIKI_MONSTERINFO_RESIST_SWORD	Aparare cu sabia %d
WIKI_MONSTERINFO_RESIST_TWOHAND	Aparare cu doua-maini %d
WIKI_MONSTERINFO_STATISTICS	Statistici pentru %s
WIKI_MONSTERINFO_STATISTICS_TYPE	Rasa: %s | Clasa: %s
WIKI_REFINEINFO_ITEM_LEVEL	Nivel %d - Valoare %d~%d
WIKI_REFINEINFO_ITEM_LEVEL_RANGE	Nivel %d~%d - Valoare %d~%d
WIKI_REFINEINFO_NEXT_ITEM	Evolutie
WIKI_REFINEINFO_YANG_COSTS	Cost yang
WIKI_SEARCH_ITEM_OVERLAY_TEXT	Nume item...
WIKI_SEARCH_MOB_OVERLAY_TEXT	Nume mob...
WIKI_SUBCATEGORY_ARMOR	Armuri
WIKI_SUBCATEGORY_BATTLEPASS	Battle-Pass
WIKI_SUBCATEGORY_BELTS	Curele
WIKI_SUBCATEGORY_BIOLOG	Biolog
WIKI_SUBCATEGORY_BOSS_CHESTS	Cufere Șefi
WIKI_SUBCATEGORY_BRACELET	Bratari
WIKI_SUBCATEGORY_COMPANION	Insotitori
WIKI_SUBCATEGORY_COSTUME_ACCE	Esarfe
WIKI_SUBCATEGORY_DUNGEON_CHESTS	Cufere Temnite
WIKI_SUBCATEGORY_EARRINGS	Cercei
WIKI_SUBCATEGORY_EVENTS	Evenimente
WIKI_SUBCATEGORY_EVENT_CHESTS	Cufere Event
WIKI_SUBCATEGORY_GAME_RULES	Regulament
WIKI_SUBCATEGORY_HAIRSTYLES	Frizuri
WIKI_SUBCATEGORY_HELMET	Coifuri
WIKI_SUBCATEGORY_LV1_99	Lv 1-99
WIKI_SUBCATEGORY_LV99_120	Lv 99-120
WIKI_SUBCATEGORY_LV120	Lv 120+
WIKI_SUBCATEGORY_MOUNT	Mount
WIKI_SUBCATEGORY_NECKLACE	Coliere
WIKI_SUBCATEGORY_OTHER_CHESTS	Alte cufere
WIKI_SUBCATEGORY_PET	Animalute
WIKI_SUBCATEGORY_PENDANT	Talismane
WIKI_SUBCATEGORY_SHIELD	Scuturi
WIKI_SUBCATEGORY_SHOES	Papuci
WIKI_SUBCATEGORY_SKILL_COLOR	Culori abilitati
WIKI_SUBCATEGORY_WEAPONS	Arme
WIKI_TITLE	Wikipedia
WIKI_UNKOWN_ITEM	Item necunoscut: %d
WIKI_UNKOWN_MOB	Mob necunoscut: %d
NEW_AFFECT_AUTO_HUNT	Auto Hunt	SNA
OTO_SATIS	|Eemoji/key_ctrl|e + |Eemoji/key_x|e + |Eemoji/key_rclick|e - Otomatik Sat.
OTOMATIK_SAT_UYARI	<Otomatik Satma> 1 den fazla itemi ekleyemezsin, önce itemi ayır!
OTOMATIK_SAT_UYARI_SANDIK	<Otomatik Satma> Sandıkları otomatik satmaya ekleyemezsin!
POSSIBLE_ORE	Suitable Ore:
BIOLOG_MANAGER_REQUIRED_LEVEL	Misiunea actuala a biologului:
BIOLOG_MANAGER_REWARD	Recompensa
BIOLOG_MANAGER_TIME_TEXT	Poti sa livrezi urmatorul obiect!
BIOLOG_MANAGER_TIME_WAIT	Asteapta: 
BIOLOG_MANAGER_TITLE	Biolog
BONUS_BOARD_CATEGORY_1	Atac/Aparare
BONUS_BOARD_CATEGORY_2	Bonusuri elementare
BONUS_BOARD_CATEGORY_3	Bonusuri clase
BONUS_BOARD_CATEGORY_4	Bonusuri arme
BONUS_BOARD_CATEGORY_5	Alte bonusuri
GUILD_DIAMANT_OVEN	diamond furnace
GUILD_FOSSIL_OVEN	Fossil wood furnace
GUILD_COPPER_OVEN	Copper furnace
GUILD_SILVER_OVEN	Silver furnace
GUILD_GOLD_OVEN	gold furnace
GUILD_JADE_OVEN	Jade kiln
GUILD_EBONY_OVEN	Ebony kiln
GUILD_PEARL_OVEN	Pearl kiln
GUILD_WHITEGOLD_OVEN	White gold furnace
GUILD_KRISTALL_OVEN	crystal kiln
GUILD_QUARZ_OVEN	quartz furnace
GUILD_TEARS_OVEN	Heavenly tears furnace
GUILD_SOULCRISTAL_OVEN	Soul crystal furnace
GUILD_RUBIN_OVEN	Ruby furnace
GUILD_GRANAT_OVEN	Garnet furnace
GUILD_SMARAGD_OVEN	Emerald furnace
GUILD_SAPHIR_OVEN	Sapphire furnace
GUILD_TURMALIN_OVEN	Tourmaline furnace
GUILD_WEAPON_BLACKSMITH	Weapons forge
GUILD_ARMOR_BLACKSMITH	armor forge
GUILD_JUWELER_BLACKSMITH	Jeweler
